H1,mapping
alb,balkan
are,pet
arg,arg
arm,cau
aus,aus
aut,aut_che
aze,cau
bel,benelux
ben,w_afr
bfa,w_afr
bgd,bgd
bgr,bgr_rou_hun
bhr,pet
blr,rus
bol,s_cone
bra,bra
brn,mys_brn
bwa,s_afr
can,can
che,aut_che
chl,chl
chn,chn_hkg
civ,gha_civ
cmr,c_afr
col,col_ecu_pan
cri,cri
cyp,tur_cyp
cze,cze_svk
deu,deu
dnk,nordic
dom,car
ecu,col_ecu_pan
egy,egy
esp,iberia
est,baltics
eth,eth
fin,nordic
fra,fra
gbr,gbr_irl
geo,cau
gha,gha_civ
gin,w_afr
grc,grc_mlt
gtm,c_am
hkg,chn_hkg
hnd,c_am
hrv,balkan
hun,bgr_rou_hun
idn,idn
ind,ind
irl,gbr_irl
irn,irn
isr,isr
ita,ita
jam,car
jor,xws
jpn,jpn
kaz,cas
ken,ken
kgz,cas
khm,sea_ldc
kor,kor
kwt,pet
lao,sea_ldc
lka,s_asia
ltu,baltics
lux,benelux
lva,baltics
mar,maghreb
mdg,i_afr
mex,mex
mlt,grc_mlt
mng,easia
moz,moz_mwi
mus,i_afr
mwi,moz_mwi
mys,mys_brn
nam,s_afr
nga,nga
nic,c_am
nld,benelux
nor,nordic
npl,s_asia
nzl,nzl
omn,xws
pak,s_asia
pan,col_ecu_pan
per,per
phl,sea_main
pol,pol
pri,usa
prt,iberia
pry,s_cone
qat,pet
rou,bgr_rou_hun
rus,rus
rwa,e_afr
sau,pet
sen,sen
sgp,sgp
slv,c_am
svk,cze_svk
svn,balkan
swe,nordic
tgo,w_afr
tha,sea_main
tjk,cas
tto,car
tun,maghreb
tur,tur_cyp
twn,easia
tza,e_afr
uga,e_afr
ukr,ukr
ury,s_cone
usa,usa
ven,ven
vnm,sea_main
xac,i_afr
xca,c_am
xcb,car
xcf,c_afr
xea,easia
xec,c_afr
xee,balkan
xef,nordic
xer,balkan
xna,can
xnf,maghreb
xoc,pac
xsa,s_asia
xsc,s_afr
xse,sea_ldc
xsm,car
xsu,cas
xtw,sea_ldc
xwf,w_afr
xws,xws
zaf,s_afr
zmb,zmb_zwe
zwe,zmb_zwe
